real_in,imag_in,real_out,imag_out
-6.611329e-03,-1.476742e-02,7.965828e-01,-9.121341e-01
-3.342757e-03,-1.478548e-02,8.890067e-01,-6.864037e-01
2.206100e-05,-1.559079e-02,1.039639e+00,-4.746490e-01
3.068483e-03,-1.705738e-02,1.227849e+00,-3.032554e-01
5.421575e-03,-1.895977e-02,1.426437e+00,-1.920368e-01
6.793015e-03,-2.099412e-02,1.604421e+00,-1.513933e-01
7.011056e-03,-2.280555e-02,1.732688e+00,-1.824035e-01
6.021150e-03,-2.404272e-02,1.790343e+00,-2.796058e-01
3.907674e-03,-2.440319e-02,1.764754e+00,-4.314098e-01
8.962652e-04,-2.368763e-02,1.647038e+00,-6.188607e-01
-2.679793e-03,-2.183108e-02,1.434408e+00,-8.160055e-01
-6.439939e-03,-1.889897e-02,1.136675e+00,-9.955298e-01
-9.983675e-03,-1.507759e-02,7.771311e-01,-1.133874e+00
-1.293794e-02,-1.065471e-02,3.873263e-01,-1.213322e+00
-1.499195e-02,-5.996406e-03,2.547178e-03,-1.222791e+00
-1.593794e-02,-1.512800e-03,-3.415299e-01,-1.159418e+00
-1.570993e-02,2.386443e-03,-6.133341e-01,-1.030489e+00
-1.435970e-02,5.336096e-03,-7.884261e-01,-8.506772e-01
-1.206544e-02,7.065155e-03,-8.523696e-01,-6.402565e-01
-9.108421e-03,7.428866e-03,-8.021920e-01,-4.225715e-01
-5.839325e-03,6.426498e-03,-6.465205e-01,-2.213920e-01
-2.636107e-03,4.205731e-03,-4.047287e-01,-5.863191e-02
1.485295e-04,1.031965e-03,-1.046005e-01,4.791025e-02
2.220157e-03,-2.733749e-03,2.196913e-01,8.683886e-02
3.372460e-03,-6.674283e-03,5.316270e-01,5.496463e-02
3.507664e-03,-1.035935e-02,7.971547e-01,-4.227255e-02
2.655000e-03,-1.338932e-02,9.888303e-01,-1.909544e-01
9.693224e-04,-1.545260e-02,1.089361e+00,-3.705240e-01
-1.294492e-03,-1.635457e-02,1.092670e+00,-5.571696e-01
-3.816680e-03,-1.603643e-02,1.003746e+00,-7.270841e-01
-6.254527e-03,-1.457726e-02,8.372441e-01,-8.588517e-01
-8.287674e-03,-1.218674e-02,6.159462e-01,-9.359261e-01
-9.642168e-03,-9.181653e-03,3.688394e-01,-9.479689e-01
-1.012409e-02,-5.939565e-03,1.274599e-01,-8.918743e-01
-9.637447e-03,-2.850773e-03,-7.801402e-02,-7.717267e-01
-8.192875e-03,-2.716517e-04,-2.223117e-01,-5.981581e-01
-5.913320e-03,1.506279e-03,-2.875986e-01,-3.877916e-01
-3.015659e-03,2.295942e-03,-2.658015e-01,-1.611712e-01
2.188335e-04,2.032180e-03,-1.593426e-01,5.977998e-02
3.480031e-03,7.809178e-04,1.898937e-02,2.544492e-01
6.465846e-03,-1.275878e-03,2.478547e-01,4.059794e-01
8.911138e-03,-3.886796e-03,5.015031e-01,5.025150e-01
1.060892e-02,-6.722395e-03,7.508195e-01,5.388097e-01
1.143509e-02,-9.433453e-03,9.675503e-01,5.168175e-01
1.136350e-02,-1.168642e-02,1.127564e+00,4.451827e-01
1.046103e-02,-1.321033e-02,1.214078e+00,3.371046e-01
8.860459e-03,-1.386331e-02,1.220831e+00,2.064693e-01
6.761809e-03,-1.359088e-02,1.149178e+00,6.828516e-02
4.394141e-03,-1.245162e-02,1.008515e+00,-6.343761e-02
1.994175e-03,-1.059912e-02,8.152362e-01,-1.770337e-01
-2.201131e-04,-8.260723e-03,5.905397e-01,-2.639117e-01
-2.093524e-03,-5.723293e-03,3.586300e-01,-3.207571e-01
-3.511240e-03,-3.267052e-03,1.429310e-01,-3.474987e-01
-4.419869e-03,-1.144520e-03,-3.649112e-02,-3.475846e-01
-4.822566e-03,4.476714e-04,-1.651458e-01,-3.271675e-01
-4.768932e-03,1.388015e-03,-2.353187e-01,-2.936472e-01
-4.345416e-03,1.645892e-03,-2.467256e-01,-2.543639e-01
-3.656310e-03,1.293137e-03,-2.067174e-01,-2.149638e-01
-2.805632e-03,4.793822e-04,-1.283166e-01,-1.786212e-01
-1.885084e-03,-5.935643e-04,-2.802749e-02,-1.460033e-01
-9.615272e-04,-1.707829e-03,7.690894e-02,-1.154573e-01
-5.205136e-05,-2.666210e-03,1.717431e-01,-8.247098e-02
8.520252e-04,-3.293260e-03,2.443370e-01,-4.118304e-02
1.781504e-03,-3.475591e-03,2.872286e-01,1.424184e-02
2.772970e-03,-3.176792e-03,2.985123e-01,8.795696e-02
3.852307e-03,-2.443849e-03,2.817977e-01,1.809937e-01
5.034264e-03,-1.403955e-03,2.459136e-01,2.911066e-01
6.312471e-03,-2.341702e-04,2.028518e-01,4.129040e-01
7.646845e-03,8.591995e-04,1.658413e-01,5.377468e-01
8.961438e-03,1.664960e-03,1.474934e-01,6.542839e-01
1.014648e-02,1.999900e-03,1.575719e-01,7.495473e-01
1.106452e-02,1.761275e-03,1.996984e-01,8.107573e-01
1.158098e-02,9.087977e-04,2.727794e-01,8.271862e-01
1.157807e-02,-5.165115e-04,3.708492e-01,7.914180e-01
1.097363e-02,-2.405162e-03,4.841531e-01,7.003505e-01
9.736239e-03,-4.593640e-03,6.005431e-01,5.558527e-01
7.890258e-03,-6.857534e-03,7.053008e-01,3.653323e-01
5.518508e-03,-8.965555e-03,7.843547e-01,1.409693e-01
2.759800e-03,-1.070495e-02,8.264776e-01,-1.013757e-01
-2.018659e-04,-1.191049e-02,8.251049e-01,-3.437869e-01
-3.155115e-03,-1.249100e-02,7.797511e-01,-5.684393e-01
-5.884151e-03,-1.245117e-02,6.968173e-01,-7.599444e-01
-8.189257e-03,-1.186727e-02,5.875364e-01,-9.064440e-01
-9.914137e-03,-1.088715e-02,4.667763e-01,-1.001127e+00
-1.096314e-02,-9.704846e-03,3.509078e-01,-1.042808e+00
-1.131569e-02,-8.533193e-03,2.554874e-01,-1.035975e+00
-1.103850e-02,-7.589017e-03,1.938260e-01,-9.910330e-01
-1.025798e-02,-7.041121e-03,1.743636e-01,-9.215747e-01
-9.154237e-03,-6.991063e-03,1.994097e-01,-8.429304e-01
-7.936107e-03,-7.458471e-03,2.647301e-01,-7.702908e-01
-6.815856e-03,-8.374078e-03,3.597096e-01,-7.167688e-01
-5.994914e-03,-9.574410e-03,4.674812e-01,-6.921374e-01
-5.627166e-03,-1.083462e-02,5.678609e-01,-7.011036e-01
-5.798570e-03,-1.189357e-02,6.401017e-01,-7.424751e-01
-6.511346e-03,-1.249288e-02,6.659856e-01,-8.091315e-01
-7.678697e-03,-1.241591e-02,6.326320e-01,-8.888588e-01
-9.137709e-03,-1.151182e-02,5.338390e-01,-9.660287e-01
-1.067329e-02,-9.719908e-03,3.709417e-01,-1.023841e+00
-1.203761e-02,-7.086933e-03,1.534470e-01,-1.046152e+00
-1.297716e-02,-3.763221e-03,-1.016566e-01,-1.019243e+00
-1.326186e-02,7.417944e-06,-3.712171e-01,-9.335992e-01
-1.271483e-02,3.891888e-03,-6.271188e-01,-7.859149e-01
-1.123679e-02,7.538077e-03,-8.414633e-01,-5.794024e-01
-8.823248e-03,1.060550e-02,-9.899323e-01,-3.236487e-01
-5.568586e-03,1.281529e-02,-1.055208e+00,-3.346475e-02
-1.660815e-03,1.398735e-02,-1.029369e+00,2.727504e-01
2.630542e-03,1.404387e-02,-9.139295e-01,5.740189e-01
6.990972e-03,1.304421e-02,-7.210456e-01,8.496691e-01
1.108608e-02,1.117475e-02,-4.726513e-01,1.081189e+00
1.459550e-02,8.731128e-03,-1.984915e-01,1.254263e+00
1.724459e-02,6.087396e-03,6.704852e-02,1.360599e+00
1.882830e-02,3.655003e-03,2.891607e-01,1.398828e+00
1.923813e-02,1.828994e-03,4.375798e-01,1.374424e+00
1.847331e-02,9.368926e-04,4.894869e-01,1.297649e+00
1.664028e-02,1.188973e-03,4.316807e-01,1.181265e+00
1.393743e-02,2.645932e-03,2.634384e-01,1.039513e+00
1.063695e-02,5.224216e-03,-2.748554e-03,8.877887e-01
7.050809e-03,8.696434e-03,-3.425311e-01,7.408960e-01
3.504200e-03,1.271815e-02,-7.217472e-01,6.125422e-01
2.970575e-04,1.685584e-02,-1.100253e+00,5.129401e-01
-2.332705e-03,2.063522e-02,-1.436180e+00,4.436213e-01
-4.217171e-03,2.360926e-02,-1.689730e+00,3.992477e-01
-5.278151e-03,2.537039e-02,-1.834037e+00,3.748029e-01
-5.508030e-03,2.560313e-02,-1.864664e+00,3.688767e-01
-4.996913e-03,2.416834e-02,-1.781661e+00,3.741327e-01
-3.936382e-03,2.115692e-02,-1.577727e+00,3.718570e-01
-2.546549e-03,1.685014e-02,-1.263290e+00,3.473844e-01
-1.056316e-03,1.163604e-02,-8.723422e-01,2.985225e-01
3.106216e-04,5.991021e-03,-4.463416e-01,2.278875e-01
1.335179e-03,4.457232e-04,-2.907235e-02,1.348456e-01
1.844139e-03,-4.478171e-03,3.346764e-01,2.194828e-02
1.739494e-03,-8.315555e-03,6.070522e-01,-1.035787e-01
1.002128e-03,-1.070644e-02,7.619134e-01,-2.317247e-01
-3.095098e-04,-1.144484e-02,7.866989e-01,-3.514726e-01
-2.073272e-03,-1.050640e-02,6.825229e-01,-4.529946e-01
-4.124359e-03,-8.053266e-03,4.635245e-01,-5.292319e-01
-6.274737e-03,-4.414743e-03,1.558292e-01,-5.761062e-01
-8.319302e-03,-3.667394e-05,-2.045240e-01,-5.914570e-01
-1.006469e-02,4.562122e-03,-5.750332e-01,-5.760812e-01
-1.135401e-02,8.841313e-03,-9.124471e-01,-5.348275e-01
-1.208923e-02,1.229271e-02,-1.178055e+00,-4.770387e-01
-1.222849e-02,1.450172e-02,-1.342182e+00,-4.141195e-01
-1.178545e-02,1.519403e-02,-1.388300e+00,-3.563627e-01
-1.082754e-02,1.426831e-02,-1.311496e+00,-3.119851e-01
-9.473041e-03,1.180486e-02,-1.116936e+00,-2.873057e-01
-7.869666e-03,8.043551e-03,-8.221609e-01,-2.851200e-01
-6.164419e-03,3.357119e-03,-4.553227e-01,-3.038824e-01
-4.510491e-03,-1.792496e-03,-5.207535e-02,-3.407771e-01
-3.045739e-03,-6.909126e-03,3.471499e-01,-3.913846e-01
-1.875269e-03,-1.151176e-02,7.033493e-01,-4.494387e-01
-1.062786e-03,-1.518306e-02,9.851636e-01,-5.072407e-01
-6.270316e-04,-1.761368e-02,1.171445e+00,-5.556521e-01
-5.304149e-04,-1.862248e-02,1.251784e+00,-5.859190e-01
-7.019647e-04,-1.817290e-02,1.226460e+00,-5.921203e-01
-1.042406e-03,-1.637477e-02,1.104383e+00,-5.697826e-01
-1.438686e-03,-1.345791e-02,9.020766e-01,-5.167804e-01
-1.797574e-03,-9.733555e-03,6.419227e-01,-4.358061e-01
-2.021156e-03,-5.563735e-03,3.502883e-01,-3.307948e-01
-2.024230e-03,-1.311852e-03,5.510786e-02,-2.061022e-01
-1.743205e-03,2.697855e-03,-2.176367e-01,-6.703343e-02
-1.141949e-03,6.214145e-03,-4.477387e-01,8.082484e-02
-2.242837e-04,9.081613e-03,-6.233483e-01,2.319643e-01
9.644210e-04,1.123674e-02,-7.409184e-01,3.809245e-01
2.349391e-03,1.270945e-02,-8.045143e-01,5.229595e-01
3.835854e-03,1.360783e-02,-8.242286e-01,6.543959e-01
5.322958e-03,1.409226e-02,-8.139659e-01,7.728430e-01
6.717936e-03,1.434070e-02,-7.887496e-01,8.771513e-01
7.922950e-03,1.452187e-02,-7.630728e-01,9.658435e-01
8.854242e-03,1.476717e-02,-7.487756e-01,1.037283e+00
9.450038e-03,1.515339e-02,-7.534519e-01,1.089802e+00
9.676227e-03,1.569560e-02,-7.797072e-01,1.121812e+00
9.526489e-03,1.634382e-02,-8.248980e-01,1.131768e+00
9.023678e-03,1.698558e-02,-8.812916e-01,1.118270e+00
8.218071e-03,1.747570e-02,-9.379330e-01,1.080627e+00
7.186120e-03,1.766280e-02,-9.825683e-01,1.019497e+00
6.024025e-03,1.742317e-02,-1.003882e+00,9.373200e-01
4.830373e-03,1.669459e-02,-9.941395e-01,8.382017e-01
3.714422e-03,1.545925e-02,-9.484338e-01,7.283692e-01
2.783949e-03,1.376964e-02,-8.662770e-01,6.162351e-01
2.137185e-03,1.174580e-02,-7.521161e-01,5.119375e-01
1.854753e-03,9.565650e-03,-6.150056e-01,4.262761e-01
1.990868e-03,7.451499e-03,-4.680876e-01,3.695922e-01
2.569320e-03,5.631621e-03,-3.263771e-01,3.505583e-01
3.581548e-03,4.312340e-03,-2.046160e-01,3.751196e-01
4.984155e-03,3.649971e-03,-1.152375e-01,4.454562e-01
6.700431e-03,3.725299e-03,-6.646398e-02,5.592492e-01
8.632286e-03,4.522167e-03,-6.047477e-02,7.097610e-01
1.065865e-02,5.942745e-03,-9.409210e-02,8.861148e-01
1.264253e-02,7.807276e-03,-1.590297e-01,1.073983e+00
1.443834e-02,9.873975e-03,-2.432983e-01,1.256324e+00
1.589761e-02,1.186881e-02,-3.331217e-01,1.414254e+00
1.687659e-02,1.351703e-02,-4.143859e-01,1.529853e+00
1.725742e-02,1.456140e-02,-4.733748e-01,1.589768e+00
1.695550e-02,1.480214e-02,-4.992495e-01,1.585593e+00
1.593672e-02,1.412704e-02,-4.855236e-01,1.511461e+00
1.422097e-02,1.253307e-02,-4.309185e-01,1.363567e+00
1.185978e-02,1.013930e-02,-3.408377e-01,1.144207e+00
8.954791e-03,7.129976e-03,-2.235239e-01,8.650352e-01
5.640659e-03,3.756231e-03,-9.048101e-02,5.426334e-01
2.080492e-03,3.149780e-04,4.245622e-02,1.962434e-01
-1.543570e-03,-2.892650e-03,1.583849e-01,-1.516287e-01
-5.057623e-03,-5.599372e-03,2.427401e-01,-4.790177e-01
-8.284802e-03,-7.593410e-03,2.853850e-01,-7.663325e-01
-1.106418e-02,-8.748908e-03,2.824662e-01,-9.983516e-01
-1.326156e-02,-9.036510e-03,2.365949e-01,-1.164817e+00
-1.478173e-02,-8.527716e-03,1.558862e-01,-1.261187e+00
-1.557998e-02,-7.411036e-03,5.421106e-02,-1.289711e+00
-1.566050e-02,-5.922330e-03,-5.254056e-02,-1.257410e+00
-1.507852e-02,-4.332184e-03,-1.476397e-01,-1.175278e+00
-1.393509e-02,-2.906186e-03,-2.157041e-01,-1.057485e+00
-1.236739e-02,-1.871718e-03,-2.448456e-01,-9.199375e-01
-1.052901e-02,-1.406024e-03,-2.270775e-01,-7.784385e-01
-8.584031e-03,-1.599417e-03,-1.602429e-01,-6.472805e-01
-6.693522e-03,-2.448766e-03,-4.858618e-02,-5.380665e-01
-5.006196e-03,-3.861224e-03,9.757575e-02,-4.590530e-01
-3.645568e-03,-5.663667e-03,2.627629e-01,-4.144700e-01
-2.686523e-03,-7.607533e-03,4.274483e-01,-4.030829e-01
-2.167656e-03,-9.430036e-03,5.719636e-01,-4.200194e-01
-2.080818e-03,-1.087603e-02,6.787349e-01,-4.573113e-01
-2.378878e-03,-1.173713e-02,7.346061e-01,-5.053036e-01
-2.978296e-03,-1.187632e-02,7.323167e-01,-5.538410e-01
-3.742566e-03,-1.122055e-02,6.703603e-01,-5.913880e-01
-4.532434e-03,-9.808588e-03,5.546562e-01,-6.087703e-01
-5.204689e-03,-7.770408e-03,3.974971e-01,-5.994998e-01
-5.633849e-03,-5.313184e-03,2.161998e-01,-5.603928e-01
-5.721789e-03,-2.692285e-03,3.111903e-02,-4.916408e-01
-5.377755e-03,-1.659096e-04,-1.369907e-01,-3.946123e-01
-4.568079e-03,2.008476e-03,-2.687121e-01,-2.742267e-01
-3.306662e-03,3.619503e-03,-3.490566e-01,-1.379016e-01
-1.660615e-03,4.527957e-03,-3.695675e-01,5.329901e-03
2.546412e-04,4.687229e-03,-3.295750e-01,1.457578e-01
2.297014e-03,4.157870e-03,-2.366603e-01,2.747694e-01
4.293886e-03,3.078877e-03,-1.049622e-01,3.842603e-01
6.063890e-03,1.658037e-03,4.612488e-02,4.674099e-01
7.433092e-03,1.422915e-04,1.943676e-01,5.192679e-01
8.252821e-03,-1.212548e-03,3.174523e-01,5.371487e-01
8.414856e-03,-2.161373e-03,3.949589e-01,5.209687e-01
7.859026e-03,-2.520275e-03,4.117590e-01,4.723954e-01
6.584388e-03,-2.186809e-03,3.598729e-01,3.945195e-01
4.649077e-03,-1.159284e-03,2.397358e-01,2.913838e-01
2.170981e-03,4.628460e-04,6.050787e-02,1.681393e-01
-6.668875e-04,2.504672e-03,-1.610517e-01,3.228765e-02
-3.658094e-03,4.714174e-03,-4.014615e-01,-1.084961e-01
-6.576610e-03,6.800116e-03,-6.336323e-01,-2.465231e-01
-9.200437e-03,8.464961e-03,-8.304294e-01,-3.750217e-01
-1.132946e-02,9.441853e-03,-9.677081e-01,-4.888273e-01
-1.278800e-02,9.532669e-03,-1.026613e+00,-5.831726e-01
-1.346969e-02,8.619984e-03,-9.954884e-01,-6.550639e-01
-1.333082e-02,6.696673e-03,-8.713341e-01,-7.022922e-01
-1.239085e-02,3.873974e-03,-6.604399e-01,-7.227567e-01
-1.072989e-02,3.713405e-04,-3.785701e-01,-7.147232e-01
-8.498740e-03,-3.513096e-03,-4.967199e-02,-6.788222e-01
-5.889635e-03,-7.432516e-03,2.964280e-01,-6.179469e-01
-3.117084e-03,-1.102665e-02,6.274816e-01,-5.368185e-01
-3.853371e-04,-1.395677e-02,9.134095e-01,-4.403065e-01
2.131908e-03,-1.594020e-02,1.129790e+00,-3.319055e-01
4.274709e-03,-1.677831e-02,1.258807e+00,-2.155411e-01
5.953582e-03,-1.637200e-02,1.291103e+00,-9.387563e-02
7.136692e-03,-1.474079e-02,1.226212e+00,3.121614e-02
7.854628e-03,-1.202542e-02,1.072422e+00,1.583334e-01
8.191735e-03,-8.470208e-03,8.467838e-01,2.858629e-01
8.267032e-03,-4.388938e-03,5.730821e-01,4.121172e-01
8.242691e-03,-1.339619e-04,2.799634e-01,5.372526e-01
8.287728e-03,3.941217e-03,-2.125170e-03,6.622283e-01
8.548698e-03,7.516188e-03,-2.451406e-01,7.876493e-01
9.126300e-03,1.033123e-02,-4.271517e-01,9.129182e-01
1.007007e-02,1.220111e-02,-5.337975e-01,1.035852e+00
1.136506e-02,1.304365e-02,-5.596722e-01,1.152563e+00
1.293302e-02,1.287841e-02,-5.080481e-01,1.258108e+00
1.463953e-02,1.182610e-02,-3.904224e-01,1.346832e+00
1.630722e-02,1.008976e-02,-2.251476e-01,1.412505e+00
1.773874e-02,7.906985e-03,-3.403700e-02,1.448670e+00
1.873912e-02,5.556421e-03,1.584252e-01,1.450089e+00
1.913897e-02,3.313400e-03,3.283734e-01,1.413579e+00
1.881910e-02,1.423245e-03,4.552045e-01,1.338545e+00
1.772880e-02,7.613704e-05,5.235915e-01,1.227030e+00
1.589732e-02,-6.152754e-04,5.253090e-01,1.083831e+00
1.343724e-02,-6.144908e-04,4.599539e-01,9.170457e-01
1.053018e-02,3.594727e-05,3.349926e-01,7.373169e-01
7.408803e-03,1.223010e-03,1.642326e-01,5.568386e-01
4.332878e-03,2.780298e-03,-3.377910e-02,3.887753e-01
1.566911e-03,4.519633e-03,-2.380499e-01,2.464702e-01
-6.552687e-04,6.232952e-03,-4.267552e-01,1.408724e-01
-2.156113e-03,7.720173e-03,-5.801868e-01,7.887010e-02
-2.837308e-03,8.809613e-03,-6.830670e-01,6.232438e-02
-2.693338e-03,9.374564e-03,-7.259372e-01,8.785786e-02
-1.815894e-03,9.341256e-03,-7.056904e-01,1.470937e-01
-3.905430e-04,8.697082e-03,-6.259474e-01,2.271468e-01
1.327083e-03,7.488190e-03,-4.964900e-01,3.119411e-01
3.041764e-03,5.816219e-03,-3.323482e-01,3.840053e-01
4.453051e-03,3.826516e-03,-1.522164e-01,4.265345e-01
5.283341e-03,1.679223e-03,2.432380e-02,4.248048e-01
5.313756e-03,-4.488495e-04,1.781292e-01,3.684429e-01
